restaurant_id,restaurant_name,menu_item,category,description,price,exclusion_reason
717376,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
1741259,Tops Bar-B-Q Millington,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
755485,Tops Bar-B-Q  Bartlett,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
671141,Tops Bar-B-Q Jackson,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
2500650,Tops Bar-B-Q Southaven,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
666035,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
987401,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
2567607,Tops Bar-B-Q Cordova,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
2013330,Tops Bar-B-Q Poplar,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
420149,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
859921,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
2500649,Tops Bar-B-Q Winchester,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
1030971,Tops Bar-b-q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
2200589,Pilot Pizza,Ritz Bitz Cheese Big Bag 3 Oz,Sides,"delicious ritz bitz sandwich crackers are tiny, bite-size versions of the ritz cracker sandwiches you know and love.",2.79,bag
2463408,Biscuits and Jams Downtown Memphis,Cutting Fee,Desserts,,10.0,fee
2458555,ON THE YARD,Sgr Gift Bag,Other,,5.99,gift bag
2568582,Cheffie's Cafe,12oz Bag Of Coffee Beans,Non-Alcoholic Beverages,big sound beans: smoky beat big flavor,20.0,bag
2200589,Pilot Pizza,Pilot House Take Home Coffee Bag,Non-Alcoholic Beverages,"it's known as the best coffee on the interstate(r), but that doesn't mean you can't brew it fresh in the comfort of your kitchen. this 12 oz bag of ground pilot house coffee will rev up your day, whether in a cupholder or your favorite mug at home. grab a bag and start brewing.",10.19,bag
984572,Crazy Lu Seafood Shack,"Bag #4 3 Crab, 1/2 Lb Shrimp, 3 Sausage, 3 Corn, 3 Potato, 3 Eggs",Entrées,,71.99,bag
1420044,Bone's Wings,Bag Nacho,Sides,,8.0,bag
1528875,MOJAMA DAR ALHAJAR,Bag Fresh Pita Bread,Sides,8 pc of soft and delicious pita bread for your favorite food.,4.49,bag
2458555,ON THE YARD,Sgr Sm Gift Bag,Other,,3.99,gift bag
2286396,Uncle Lou's Southern Kitchen,Bulk Bag-o- Fries 14-16 Serv,Sides,,18.88,bag
2459105,NEW BEAUTY NAIL BAR LLC,24-hour Party Cancellation Fee,Other,,53.0,fee
2458555,ON THE YARD,Aka Sm Gift Bag,Other,,3.99,gift bag
2118830,BIG MYRTS WINGS & THINGS,Service Charge,Sandwiches & Burgers,,3.5,service charge
2458555,ON THE YARD,Aka Gift Bag,Other,,5.99,gift bag
2443841,INSPIRE BY MARCELA BEAUTY SPA,Evaluation Fee- Non Refundable,Other,,25.0,fee
1266758,Broken Cup Cafe,Numi Tea Bag,Non-Alcoholic Beverages,,2.25,bag
1166258,Broken Cup Cafe,Numi Tea Bag,Non-Alcoholic Beverages,,2.25,bag
2165636,Ali Baba Mediterranean Grill,Party Change Fee,Entrées,,4.75,fee
2456443,ALI BABA RESTAURANT,Party Change Fee,Entrées,,4.0,fee
